	S11-1	S11-11	S11-12	S11-14	S11-2	S11-6	S11-7	S11-9	S13-1	S13-11	S13-12	S13-14	S13-2	S13-6	S13-7	S13-9	S17-1	S17-11	S17-12	S17-14	S17-2	S17-6	S17-7	S17-9	S9-1	S9-11	S9-12	S9-14	S9-2	S9-6	S9-7	S9-9
S11-1	0	1.101249123634468	1.616381809988104	0.9458996571979945	0.6567501607244067	0.7039002641610319	0.515305784081322	0.8523602721561967	0.7284056463006102	1.025058246564173	0.950481377232376	0.9810835423622792	0.6927714872864587	1.28244472937031	0.7528928860861557	0.7776197937910062	0.6549240008321411	1.519469704452864	1.106821833779552	0.9633778786498619	0.5308326439674382	1.332338068077825	1.03153066922818	1.317160544198804	0.3416833643972709	1.400722266229227	1.150623616175019	1.168289548918401	0.8113275996575453	0.8958555900906606	0.5984960322235028	1.165189997753683
S11-11	1.101249123634468	0	1.639331427705285	0.7527026229343522	1.256427461498564	0.9650798392661804	1.016003544432509	1.107365370037192	0.8457168415583567	0.9017042961671847	0.4515527471255616	0.7315441998971587	0.8304165959498417	1.240463327427121	0.6569728855755936	1.155037689174059	0.7194673341950354	1.573937645071641	0.5537638460619294	1.601274414669088	1.156680101640996	1.392431460499187	1.515337542688983	1.984694703213507	1.229376977521341	1.152243797368879	1.286822632278994	1.788697483084525	1.480162639210448	1.119638838113151	1.234920975938524	1.862243849312137
S11-12	1.616381809988104	1.639331427705285	0	2.024765150165806	2.002647657780344	1.214550773734717	1.574023736460746	2.22881993614537	2.09010153714511	1.003832721662974	1.694622645465039	2.02188690873073	1.115303301434575	1.40269979266588	1.797537352767616	2.140952876895689	1.610657688341318	0.6630469904409498	1.74933193763408	2.350584782323069	1.353449730017465	2.537732616030794	2.356241553145363	2.617926872294618	1.699496430960909	0.8420637397617809	1.002273770829783	2.412823889723863	2.210950467390668	2.190102521557335	1.828273443185523	2.448105052362935
S11-14	0.9458996571979945	0.7527026229343522	2.024765150165806	0	0.9283522173492728	1.111320588218881	0.9335691615989238	0.7484240782428146	0.5714108979820925	1.19409993880725	0.6310941262917895	0.3042853213100572	1.131600308504711	1.574788511875761	0.5140053732092771	0.8162136054869383	0.8455602011558101	1.932311855427953	0.8703680062764952	1.021617188597157	1.212280882873937	1.102449321718732	1.222882552195302	1.601032563990606	0.951134726953146	1.541914258982783	1.534227455844855	1.288606023449569	1.154752045169576	0.8649082074337604	0.8960723977378339	1.506646515904165
S11-2	0.6567501607244067	1.256427461498564	2.002647657780344	0.9283522173492728	0	1.11132688602409	0.8307527089911683	0.4840726106482039	0.7025841431779928	1.363139976391183	1.160055016464782	0.9616375822453593	1.060954231981519	1.719589869991571	0.9076799506154206	0.4100245945887255	1.005685322320323	2.004739201444592	1.403579261033426	0.7969373039115467	0.8070860404731075	0.9176902929483928	0.8511465005188726	1.03690900053969	0.6887150136473241	1.716767128352139	1.616451402681081	0.9116187227794005	0.6125584857520314	0.5332999711672948	0.7711980919795347	0.8949228737456422
S11-6	0.7039002641610319	0.9650798392661804	1.214550773734717	1.111320588218881	1.11132688602409	0	0.779993662991006	1.23297490723582	1.084041397762112	0.9039578567755326	0.9339631879824126	1.16091455829812	0.5853163332100408	1.009598216086286	0.9668926149105642	1.188776999065605	0.6703030283891548	1.337162293873303	0.9910562153968875	1.375858910094915	0.638518274453259	1.63879487784127	1.36303347388639	1.702688619458117	0.8254950485153772	1.346438013021065	1.05684550559102	1.581480173266043	1.294023991668832	1.272911315307681	0.9964303992799713	1.589037669668092
S11-7	0.515305784081322	1.016003544432509	1.574023736460746	0.9335691615989238	0.8307527089911683	0.779993662991006	0	1.033846743807532	0.9470627335137202	0.9133710011430436	1.097452380249631	0.9596544766076101	0.7584749586654329	1.344260213357394	0.6745411482225409	1.03033812600015	0.6546857897535084	1.465446206548943	1.016810006798854	0.9401759626603468	0.6883285414541064	1.308104144939179	0.9964186015459151	1.379536275809977	0.6582666134985484	1.34936890962487	1.145295446665428	1.125755922143676	1.025434540274383	0.9652666078578589	0.5124708717817139	1.279716055361739
S11-9	0.8523602721561967	1.107365370037192	2.22881993614537	0.7484240782428146	0.4840726106482039	1.23297490723582	1.033846743807532	0	0.4573713155476385	1.476515405424988	0.987036718864582	0.7331921573211637	1.258657935345373	1.786342245324023	0.7569080865822139	0.2625734132019511	0.9875946291863994	2.240771998754548	1.172911165020662	0.7950757328432121	1.058021238613999	0.7040195263304558	0.8053673281116316	0.9747232851538514	0.8477340935708032	1.771662471937008	1.80898176829557	0.9859172650719533	0.7119069190679853	0.4035396810860512	0.9833978733519213	0.8897097391865147
S13-1	0.7284056463006102	0.8457168415583567	2.09010153714511	0.5714108979820925	0.7025841431779928	1.084041397762112	0.9470627335137202	0.4573713155476385	0	1.353445139889349	0.7042627870355755	0.5813479160705779	1.171707315185615	1.577763797751464	0.63172947058644	0.5333706761448465	0.8115768254884461	2.033545038446309	0.8887376272890347	1.027159687237982	1.057227900956649	0.89035235109751	0.9913549855932581	1.33101456483932	0.7337982892741449	1.634658787136036	1.632342016996627	1.251541842883769	0.8798616169418505	0.5425226298449374	0.9490730030205395	1.21608574296678
S13-11	1.025058246564173	0.9017042961671847	1.003832721662974	1.19409993880725	1.363139976391183	0.9039578567755326	0.9133710011430436	1.476515405424988	1.353445139889349	0	0.9460314608650742	1.206461796515241	0.7188912061654122	1.17684784442789	1.017675202885819	1.411644807825312	0.8459004397310872	0.9010025066125337	0.9853748687993794	1.576186304773453	1.10224769161996	1.797719080529678	1.602358198033258	2.048216672716817	1.162162945145548	0.5660306995003698	1.036700531360501	1.76812196312229	1.556937667410962	1.470897526869463	1.154282777281036	1.928238780363269
S13-12	0.950481377232376	0.4515527471255616	1.694622645465039	0.6310941262917895	1.160055016464782	0.9339631879824126	1.097452380249631	0.987036718864582	0.7042627870355755	0.9460314608650742	0	0.6148350196224753	0.8928944965960197	1.338332583537199	0.6416001121232898	1.051450343010398	0.6958409415552618	1.705752062083223	0.6148211919803794	1.521232295788772	1.125586061009202	1.220166566898645	1.418102011552045	1.848165480896633	1.038476498274357	1.226051510688803	1.371058013267035	1.686802824689805	1.375694632913539	0.9866373086305804	1.153336002651153	1.742460634876321
S13-14	0.9810835423622792	0.7315441998971587	2.02188690873073	0.3042853213100572	0.9616375822453593	1.16091455829812	0.9596544766076101	0.7331921573211637	0.5813479160705779	1.206461796515241	0.6148350196224753	0	1.133781743145746	1.578372957909739	0.478928694613472	0.8309680712361333	0.8285689153837944	1.984379696654415	0.8285652884333058	1.102280162888543	1.18944335578052	1.096982240742223	1.206639635673098	1.622009579219674	0.983148408990479	1.519980092491897	1.572365171916653	1.321022057533665	1.211404332277627	0.8315406326565228	0.9182749569363193	1.557940701622095
S13-2	0.6927714872864587	0.8304165959498417	1.115303301434575	1.131600308504711	1.060954231981519	0.5853163332100408	0.7584749586654329	1.258657935345373	1.171707315185615	0.7188912061654122	0.8928944965960197	1.133781743145746	0	1.07179433278098	0.9370338086736295	1.173417599867934	0.7234182265868309	1.178472468723938	0.933603013497761	1.480308460805794	0.6039140175730806	1.711171688779247	1.478712865013958	1.817483858529219	0.74529782985174	0.9885429448493508	0.8334986520190539	1.643412853759779	1.292399694044865	1.31711425863433	1.029308935269471	1.688695628979587
S13-6	1.28244472937031	1.240463327427121	1.40269979266588	1.574788511875761	1.719589869991571	1.009598216086286	1.344260213357394	1.786342245324023	1.577763797751464	1.17684784442789	1.338332583537199	1.578372957909739	1.07179433278098	0	1.450929658032266	1.733770109285558	1.047337578692024	1.224538615422775	1.329112538786853	1.932025686442703	1.252907242055965	2.095629762897651	1.939699614500848	2.281677581270051	1.430937290952658	1.302324764522397	1.117800747279259	2.15326834653814	1.7806821923584	1.771519169009978	1.608162869134912	2.165437929729631
S13-7	0.7528928860861557	0.6569728855755936	1.797537352767616	0.5140053732092771	0.9076799506154206	0.9668926149105642	0.6745411482225409	0.7569080865822139	0.63172947058644	1.017675202885819	0.6416001121232898	0.478928694613472	0.9370338086736295	1.450929658032266	0	0.8410777152935689	0.7174761198793899	1.767189584256811	0.8426174249458005	1.087548417131695	0.9526780580900934	1.079833741881391	1.160845694070715	1.604035649391487	0.8576431052126391	1.331700843245933	1.367191750628962	1.297900583762584	1.172654997363793	0.836237101206185	0.7748369524970412	1.547780401600148
S13-9	0.7776197937910062	1.155037689174059	2.140952876895689	0.8162136054869383	0.4100245945887255	1.188776999065605	1.03033812600015	0.2625734132019511	0.5333706761448465	1.411644807825312	1.051450343010398	0.8309680712361333	1.173417599867934	1.733770109285558	0.8410777152935689	0	0.9862509326012046	2.141037611496229	1.289362657874837	0.7487267077984822	0.9338020248382052	0.797115732410738	0.8270400453266178	0.977924290419378	0.8176915196093609	1.711478102339556	1.716816058122639	0.9388928362742883	0.616074758319259	0.4871777604596992	0.9413095847194297	0.8625550066318396
S17-1	0.6549240008321411	0.7194673341950354	1.610657688341318	0.8455602011558101	1.005685322320323	0.6703030283891548	0.6546857897535084	0.9875946291863994	0.8115768254884461	0.8459004397310872	0.6958409415552618	0.8285689153837944	0.7234182265868309	1.047337578692024	0.7174761198793899	0.9862509326012046	0	1.467884071866395	0.7055599834279754	1.252309481045446	0.8383897412534282	1.346266467869891	1.209948157306829	1.642777385304618	0.8047813883085613	1.242942309048246	1.204856493553215	1.539269737386764	1.164988338122551	1.016119033701779	0.9720308981909944	1.554595146035328
S17-11	1.519469704452864	1.573937645071641	0.6630469904409498	1.932311855427953	2.004739201444592	1.337162293873303	1.465446206548943	2.240771998754548	2.033545038446309	0.9010025066125337	1.705752062083223	1.984379696654415	1.178472468723938	1.224538615422775	1.767189584256811	2.141037611496229	1.467884071866395	0	1.620259154170536	2.228160917741208	1.458441667028071	2.527068382367362	2.304417770337248	2.657846655922823	1.690440189452694	0.814061899175632	0.9982329497177594	2.4330298753275	2.1286465796206	2.194675872399794	1.750645583406655	2.503994630980583
S17-12	1.106821833779552	0.5537638460619294	1.74933193763408	0.8703680062764952	1.403579261033426	0.9910562153968875	1.016810006798854	1.172911165020662	0.8887376272890347	0.9853748687993794	0.6148211919803794	0.8285652884333058	0.933603013497761	1.329112538786853	0.8426174249458005	1.289362657874837	0.7055599834279754	1.620259154170536	0	1.625315372940435	1.293067676404093	1.406411122430875	1.511839764419894	1.942864116719193	1.233876412023776	1.281641553664336	1.364859767964426	1.879996454306492	1.566044647662372	1.195205873781895	1.320608334398947	1.901098032445645
S17-14	0.9633778786498619	1.601274414669088	2.350584782323069	1.021617188597157	0.7969373039115467	1.375858910094915	0.9401759626603468	0.7950757328432121	1.027159687237982	1.576186304773453	1.521232295788772	1.102280162888543	1.480308460805794	1.932025686442703	1.087548417131695	0.7487267077984822	1.252309481045446	2.228160917741208	1.625315372940435	0	1.292487446587832	0.8152044974213316	0.5174828254740834	0.7838985254490553	0.9222266290121154	2.015500264381691	1.824496964153633	0.4715006435470735	0.720011836618511	0.8119758889512745	0.8994637574371044	0.7710821209660715
S17-2	0.5308326439674382	1.156680101640996	1.353449730017465	1.212280882873937	0.8070860404731075	0.638518274453259	0.6883285414541064	1.058021238613999	1.057227900956649	1.10224769161996	1.125586061009202	1.18944335578052	0.6039140175730806	1.252907242055965	0.9526780580900934	0.9338020248382052	0.8383897412534282	1.458441667028071	1.293067676404093	1.292487446587832	0	1.567762420833959	1.315339055569715	1.395933432784882	0.6614697242817096	1.450149440209653	1.15990599601619	1.389107350955112	1.059295633018717	1.162468883068593	0.8416566968314452	1.263272238868325
S17-6	1.332338068077825	1.392431460499187	2.537732616030794	1.102449321718732	0.9176902929483928	1.63879487784127	1.308104144939179	0.7040195263304558	0.89035235109751	1.797719080529678	1.220166566898645	1.096982240742223	1.711171688779247	2.095629762897651	1.079833741881391	0.797115732410738	1.346266467869891	2.527068382367362	1.406411122430875	0.8152044974213316	1.567762420833959	0	0.7925758887963759	1.088104498269342	1.282351828018198	2.107966390739831	2.178671863081026	0.9998220418879172	0.9666402426317718	0.554956433119976	1.325202710505196	1.120220839707213
S17-7	1.03153066922818	1.515337542688983	2.356241553145363	1.222882552195302	0.8511465005188726	1.36303347388639	0.9964186015459151	0.8053673281116316	0.9913549855932581	1.602358198033258	1.418102011552045	1.206639635673098	1.478712865013958	1.939699614500848	1.160845694070715	0.8270400453266178	1.209948157306829	2.304417770337248	1.511839764419894	0.5174828254740834	1.315339055569715	0.7925758887963759	0	0.7635225223926938	0.9887428841870267	1.99321548694168	1.937000334929787	0.5278301056040358	0.8466954923961207	0.7698183071508063	1.043410070136685	0.7435777773428006
S17-9	1.317160544198804	1.984694703213507	2.617926872294618	1.601032563990606	1.03690900053969	1.702688619458117	1.379536275809977	0.9747232851538514	1.33101456483932	2.048216672716817	1.848165480896633	1.622009579219674	1.817483858529219	2.281677581270051	1.604035649391487	0.977924290419378	1.642777385304618	2.657846655922823	1.942864116719193	0.7838985254490553	1.395933432784882	1.088104498269342	0.7635225223926938	0	1.322143274938099	2.422969233527128	2.297325999674956	0.6792647367329878	1.056670222969113	1.098370132788409	1.323621514779924	0.3046975414368841
S9-1	0.3416833643972709	1.229376977521341	1.699496430960909	0.951134726953146	0.6887150136473241	0.8254950485153772	0.6582666134985484	0.8477340935708032	0.7337982892741449	1.162162945145548	1.038476498274357	0.983148408990479	0.74529782985174	1.430937290952658	0.8576431052126391	0.8176915196093609	0.8047813883085613	1.690440189452694	1.233876412023776	0.9222266290121154	0.6614697242817096	1.282351828018198	0.9887428841870267	1.322143274938099	0	1.484626138565713	1.122865440081103	1.129374352761176	0.7844326443006699	0.8765863996830869	0.6169580962791519	1.180403251551449
S9-11	1.400722266229227	1.152243797368879	0.8420637397617809	1.541914258982783	1.716767128352139	1.346438013021065	1.34936890962487	1.771662471937008	1.634658787136036	0.5660306995003698	1.226051510688803	1.519980092491897	0.9885429448493508	1.302324764522397	1.331700843245933	1.711478102339556	1.242942309048246	0.814061899175632	1.281641553664336	2.015500264381691	1.450149440209653	2.107966390739831	1.99321548694168	2.422969233527128	1.484626138565713	0	1.029906982339852	2.149215667360379	1.877849645057887	1.787848599027533	1.573277380500286	2.299734885379732
S9-12	1.150623616175019	1.286822632278994	1.002273770829783	1.534227455844855	1.616451402681081	1.05684550559102	1.145295446665428	1.80898176829557	1.632342016996627	1.036700531360501	1.371058013267035	1.572365171916653	0.8334986520190539	1.117800747279259	1.367191750628962	1.716816058122639	1.204856493553215	0.9982329497177594	1.364859767964426	1.824496964153633	1.15990599601619	2.178671863081026	1.937000334929787	2.297325999674956	1.122865440081103	1.029906982339852	0	1.982757984533144	1.702400187289625	1.78554725539152	1.246065848504707	2.116627799024196
S9-14	1.168289548918401	1.788697483084525	2.412823889723863	1.288606023449569	0.9116187227794005	1.581480173266043	1.125755922143676	0.9859172650719533	1.251541842883769	1.76812196312229	1.686802824689805	1.321022057533665	1.643412853759779	2.15326834653814	1.297900583762584	0.9388928362742883	1.539269737386764	2.4330298753275	1.879996454306492	0.4715006435470735	1.389107350955112	0.9998220418879172	0.5278301056040358	0.6792647367329878	1.129374352761176	2.149215667360379	1.982757984533144	0	0.8039067308987456	0.958905395819354	0.9887050926454449	0.5838461581870756
S9-2	0.8113275996575453	1.480162639210448	2.210950467390668	1.154752045169576	0.6125584857520314	1.294023991668832	1.025434540274383	0.7119069190679853	0.8798616169418505	1.556937667410962	1.375694632913539	1.211404332277627	1.292399694044865	1.7806821923584	1.172654997363793	0.616074758319259	1.164988338122551	2.1286465796206	1.566044647662372	0.720011836618511	1.059295633018717	0.9666402426317718	0.8466954923961207	1.056670222969113	0.7844326443006699	1.877849645057887	1.702400187289625	0.8039067308987456	0	0.749263174842167	0.9458728424196378	0.9134596577512726
S9-6	0.8958555900906606	1.119638838113151	2.190102521557335	0.8649082074337604	0.5332999711672948	1.272911315307681	0.9652666078578589	0.4035396810860512	0.5425226298449374	1.470897526869463	0.9866373086305804	0.8315406326565228	1.31711425863433	1.771519169009978	0.836237101206185	0.4871777604596992	1.016119033701779	2.194675872399794	1.195205873781895	0.8119758889512745	1.162468883068593	0.554956433119976	0.7698183071508063	1.098370132788409	0.8765863996830869	1.787848599027533	1.78554725539152	0.958905395819354	0.749263174842167	0	0.9411470667494128	1.003518643779948
S9-7	0.5984960322235028	1.234920975938524	1.828273443185523	0.8960723977378339	0.7711980919795347	0.9964303992799713	0.5124708717817139	0.9833978733519213	0.9490730030205395	1.154282777281036	1.153336002651153	0.9182749569363193	1.029308935269471	1.608162869134912	0.7748369524970412	0.9413095847194297	0.9720308981909944	1.750645583406655	1.320608334398947	0.8994637574371044	0.8416566968314452	1.325202710505196	1.043410070136685	1.323621514779924	0.6169580962791519	1.573277380500286	1.246065848504707	0.9887050926454449	0.9458728424196378	0.9411470667494128	0	1.172661656395902
S9-9	1.165189997753683	1.862243849312137	2.448105052362935	1.506646515904165	0.8949228737456422	1.589037669668092	1.279716055361739	0.8897097391865147	1.21608574296678	1.928238780363269	1.742460634876321	1.557940701622095	1.688695628979587	2.165437929729631	1.547780401600148	0.8625550066318396	1.554595146035328	2.503994630980583	1.901098032445645	0.7710821209660715	1.263272238868325	1.120220839707213	0.7435777773428006	0.3046975414368841	1.180403251551449	2.299734885379732	2.116627799024196	0.5838461581870756	0.9134596577512726	1.003518643779948	1.172661656395902	0
