sample_id,depth,BrayCurtis_similarity,way
s11_1,0.1,0.753792907,2bRAD-M
s11_11,0.1,0.629159503,2bRAD-M
s11_12,0.1,0.789895293,2bRAD-M
s11_14,0.1,0.560125154,2bRAD-M
s11_2,0.1,0.615860289,2bRAD-M
s11_6,0.1,0.742254638,2bRAD-M
s11_7,0.1,0.739585857,2bRAD-M
s11_9,0.1,0.797866809,2bRAD-M
s13_1,0.1,0.774076104,2bRAD-M
s13_11,0.1,0.476088712,2bRAD-M
s13_12,0.1,0.721620903,2bRAD-M
s13_14,0.1,0.580350808,2bRAD-M
s13_2,0.1,0.514773784,2bRAD-M
s13_6,0.1,0.703807887,2bRAD-M
s13_7,0.1,0.655973859,2bRAD-M
s13_9,0.1,0.75908716,2bRAD-M
s17_1,0.1,0.765898274,2bRAD-M
s17_11,0.1,0.486555497,2bRAD-M
s17_12,0.1,0.790800766,2bRAD-M
s17_14,0.1,0.543076538,2bRAD-M
s17_2,0.1,0.520374084,2bRAD-M
s17_6,0.1,0.655429732,2bRAD-M
s17_7,0.1,0.747280778,2bRAD-M
s17_9,0.1,0.779642691,2bRAD-M
s9_1,0.1,0.72838094,2bRAD-M
s9_11,0.1,0.62180685,2bRAD-M
s9_12,0.1,0.634613668,2bRAD-M
s9_14,0.1,0.758949599,2bRAD-M
s9_2,0.1,0.611243893,2bRAD-M
s9_6,0.1,0.812116428,2bRAD-M
s9_7,0.1,0.711627684,2bRAD-M
s9_9,0.1,0.825855246,2bRAD-M
s11_1,1,0.916525401,2bRAD-M
s11_11,1,0.877438857,2bRAD-M
s11_12,1,0.939559398,2bRAD-M
s11_14,1,0.815739054,2bRAD-M
s11_2,1,0.867080322,2bRAD-M
s11_6,1,0.911946441,2bRAD-M
s11_7,1,0.925082083,2bRAD-M
s11_9,1,0.930119548,2bRAD-M
s13_1,1,0.914185772,2bRAD-M
s13_11,1,0.808161343,2bRAD-M
s13_12,1,0.90570878,2bRAD-M
s13_14,1,0.832279565,2bRAD-M
s13_2,1,0.81443044,2bRAD-M
s13_6,1,0.895307706,2bRAD-M
s13_7,1,0.888294842,2bRAD-M
s13_9,1,0.918419469,2bRAD-M
s17_1,1,0.92726268,2bRAD-M
s17_11,1,0.819922397,2bRAD-M
s17_12,1,0.930242959,2bRAD-M
s17_14,1,0.816316565,2bRAD-M
s17_2,1,0.825715174,2bRAD-M
s17_6,1,0.887291224,2bRAD-M
s17_7,1,0.912530353,2bRAD-M
s17_9,1,0.923097956,2bRAD-M
s9_1,1,0.892585617,2bRAD-M
s9_11,1,0.885853516,2bRAD-M
s9_12,1,0.888614473,2bRAD-M
s9_14,1,0.908052599,2bRAD-M
s9_2,1,0.88805736,2bRAD-M
s9_6,1,0.944743181,2bRAD-M
s9_7,1,0.908612456,2bRAD-M
s9_9,1,0.93459321,2bRAD-M
s11_1,2,0.941913341,2bRAD-M
s11_11,2,0.921526715,2bRAD-M
s11_12,2,0.95796445,2bRAD-M
s11_14,2,0.880375462,2bRAD-M
s11_2,2,0.92364994,2bRAD-M
s11_6,2,0.943511729,2bRAD-M
s11_7,2,0.952679166,2bRAD-M
s11_9,2,0.956879065,2bRAD-M
s13_1,2,0.940235166,2bRAD-M
s13_11,2,0.869484029,2bRAD-M
s13_12,2,0.936642688,2bRAD-M
s13_14,2,0.879984797,2bRAD-M
s13_2,2,0.866233288,2bRAD-M
s13_6,2,0.924144865,2bRAD-M
s13_7,2,0.927221961,2bRAD-M
s13_9,2,0.9436022,2bRAD-M
s17_1,2,0.951050934,2bRAD-M
s17_11,2,0.892957991,2bRAD-M
s17_12,2,0.949617125,2bRAD-M
s17_14,2,0.871025329,2bRAD-M
s17_2,2,0.906898974,2bRAD-M
s17_6,2,0.9224194,2bRAD-M
s17_7,2,0.946739728,2bRAD-M
s17_9,2,0.952305272,2bRAD-M
s9_1,2,0.92901894,2bRAD-M
s9_11,2,0.927477061,2bRAD-M
s9_12,2,0.931285547,2bRAD-M
s9_14,2,0.93941745,2bRAD-M
s9_2,2,0.930026955,2bRAD-M
s9_6,2,0.962965163,2bRAD-M
s9_7,2,0.93963538,2bRAD-M
s9_9,2,0.954425752,2bRAD-M
s11_1,5,0.968136181,2bRAD-M
s11_11,5,0.97438246,2bRAD-M
s11_12,5,0.980762949,2bRAD-M
s11_14,5,0.935476973,2bRAD-M
s11_2,5,0.965289477,2bRAD-M
s11_6,5,0.971991569,2bRAD-M
s11_7,5,0.982646485,2bRAD-M
s11_9,5,0.976756376,2bRAD-M
s13_1,5,0.966336161,2bRAD-M
s13_11,5,0.930136696,2bRAD-M
s13_12,5,0.966872496,2bRAD-M
s13_14,5,0.928499529,2bRAD-M
s13_2,5,0.959199971,2bRAD-M
s13_6,5,0.961001463,2bRAD-M
s13_7,5,0.977057351,2bRAD-M
s13_9,5,0.971832781,2bRAD-M
s17_1,5,0.969084968,2bRAD-M
s17_11,5,0.954297379,2bRAD-M
s17_12,5,0.974921436,2bRAD-M
s17_14,5,0.924669871,2bRAD-M
s17_2,5,0.964462901,2bRAD-M
s17_6,5,0.955086144,2bRAD-M
s17_7,5,0.982432739,2bRAD-M
s17_9,5,0.972195309,2bRAD-M
s9_1,5,0.965905105,2bRAD-M
s9_11,5,0.971547007,2bRAD-M
s9_12,5,0.97293321,2bRAD-M
s9_14,5,0.96991386,2bRAD-M
s9_2,5,0.967049392,2bRAD-M
s9_6,5,0.977506075,2bRAD-M
s9_7,5,0.975877998,2bRAD-M
s9_9,5,0.971086011,2bRAD-M
s11_1,7.5,0.977698486,2bRAD-M
s11_11,7.5,0.98850463,2bRAD-M
s11_12,7.5,0.991941611,2bRAD-M
s11_14,7.5,0.954822551,2bRAD-M
s11_2,7.5,0.98383514,2bRAD-M
s11_6,7.5,0.982183893,2bRAD-M
s11_7,7.5,0.994112532,2bRAD-M
s11_9,7.5,0.98236435,2bRAD-M
s13_1,7.5,0.976984217,2bRAD-M
s13_11,7.5,0.954661359,2bRAD-M
s13_12,7.5,0.982140529,2bRAD-M
s13_14,7.5,0.943831589,2bRAD-M
s13_6,7.5,0.977160618,2bRAD-M
s13_9,7.5,0.980299069,2bRAD-M
s17_1,7.5,0.975769666,2bRAD-M
s17_11,7.5,0.976968845,2bRAD-M
s17_12,7.5,0.986530196,2bRAD-M
s17_14,7.5,0.939162634,2bRAD-M
s17_2,7.5,0.982100727,2bRAD-M
s17_6,7.5,0.96431942,2bRAD-M
s17_7,7.5,0.992490003,2bRAD-M
s17_9,7.5,0.977941746,2bRAD-M
s9_1,7.5,0.975955894,2bRAD-M
s9_11,7.5,0.990202629,2bRAD-M
s9_12,7.5,0.989259581,2bRAD-M
s9_14,7.5,0.97757821,2bRAD-M
s9_2,7.5,0.983212594,2bRAD-M
s9_6,7.5,0.984068802,2bRAD-M
s9_7,7.5,0.987839946,2bRAD-M
s9_9,7.5,0.97738094,2bRAD-M
s11_1,10,0.9818889,2bRAD-M
s11_14,10,0.964941189,2bRAD-M
s11_6,10,0.986517231,2bRAD-M
s11_9,10,0.98690092,2bRAD-M
s13_1,10,0.983045903,2bRAD-M
s13_11,10,0.968467021,2bRAD-M
s13_12,10,0.993474519,2bRAD-M
s13_14,10,0.953752786,2bRAD-M
s13_6,10,0.982887517,2bRAD-M
s13_9,10,0.985313722,2bRAD-M
s17_1,10,0.980305087,2bRAD-M
s17_11,10,0.998475444,2bRAD-M
s17_12,10,0.99629393,2bRAD-M
s17_14,10,0.946681328,2bRAD-M
s17_6,10,0.970681888,2bRAD-M
s17_9,10,0.981640925,2bRAD-M
s9_1,10,0.981969607,2bRAD-M
s9_14,10,0.983096522,2bRAD-M
s9_6,10,0.987023487,2bRAD-M
s9_9,10,0.982956086,2bRAD-M
s11_1,12.5,0.984788013,2bRAD-M
s11_14,12.5,0.97483738,2bRAD-M
s11_6,12.5,0.990423063,2bRAD-M
s11_9,12.5,0.990059004,2bRAD-M
s13_1,12.5,0.98666634,2bRAD-M
s13_11,12.5,0.989066787,2bRAD-M
s13_14,12.5,0.960037383,2bRAD-M
s13_6,12.5,0.985430083,2bRAD-M
s13_9,12.5,0.988451717,2bRAD-M
s17_1,12.5,0.98303009,2bRAD-M
s17_14,12.5,0.952711588,2bRAD-M
s17_6,12.5,0.975440176,2bRAD-M
s17_9,12.5,0.983897858,2bRAD-M
s9_1,12.5,0.98662513,2bRAD-M
s9_14,12.5,0.986953839,2bRAD-M
s9_6,12.5,0.990578348,2bRAD-M
s9_9,12.5,0.985383508,2bRAD-M
s11_1,15,0.987664935,2bRAD-M
s11_14,15,0.980928732,2bRAD-M
s11_6,15,0.993148007,2bRAD-M
s11_9,15,0.992635641,2bRAD-M
s13_1,15,0.990888002,2bRAD-M
s13_14,15,0.965781693,2bRAD-M
s13_6,15,0.990060543,2bRAD-M
s13_9,15,0.990734463,2bRAD-M
s17_1,15,0.985510259,2bRAD-M
s17_14,15,0.956954536,2bRAD-M
s17_6,15,0.980328352,2bRAD-M
s17_9,15,0.985557979,2bRAD-M
s9_1,15,0.992476455,2bRAD-M
s9_14,15,0.98959876,2bRAD-M
s9_6,15,0.9920834,2bRAD-M
s9_9,15,0.988811718,2bRAD-M
s11_1,17.5,0.990787203,2bRAD-M
s11_14,17.5,0.986929655,2bRAD-M
s11_6,17.5,0.995108163,2bRAD-M
s11_9,17.5,0.994237168,2bRAD-M
s13_1,17.5,0.992860074,2bRAD-M
s13_14,17.5,0.971869778,2bRAD-M
s13_6,17.5,0.993435217,2bRAD-M
s13_9,17.5,0.99339458,2bRAD-M
s17_1,17.5,0.988020971,2bRAD-M
s17_14,17.5,0.960896033,2bRAD-M
s17_6,17.5,0.984368032,2bRAD-M
s17_9,17.5,0.986373048,2bRAD-M
s9_1,17.5,0.996326336,2bRAD-M
s9_14,17.5,0.991848327,2bRAD-M
s9_6,17.5,0.993506038,2bRAD-M
s9_9,17.5,0.990572184,2bRAD-M
s11_1,20,0.992840434,2bRAD-M
s11_14,20,0.990123388,2bRAD-M
s11_6,20,0.997460371,2bRAD-M
s11_9,20,0.995646545,2bRAD-M
s13_1,20,0.994810428,2bRAD-M
s13_14,20,0.974385285,2bRAD-M
s13_6,20,0.998600239,2bRAD-M
s13_9,20,0.996083316,2bRAD-M
s17_1,20,0.990591214,2bRAD-M
s17_14,20,0.967698922,2bRAD-M
s17_6,20,0.989209235,2bRAD-M
s17_9,20,0.989437177,2bRAD-M
s9_14,20,0.994152463,2bRAD-M
s9_6,20,0.994759656,2bRAD-M
s9_9,20,0.991747558,2bRAD-M
s11_1,22.5,0.994019139,2bRAD-M
s11_14,22.5,0.994506309,2bRAD-M
s11_9,22.5,0.996910755,2bRAD-M
s13_1,22.5,0.997338676,2bRAD-M
s13_14,22.5,0.978794698,2bRAD-M
s13_9,22.5,0.99796902,2bRAD-M
s17_1,22.5,0.992340619,2bRAD-M
s17_14,22.5,0.974693648,2bRAD-M
s17_6,22.5,0.992983722,2bRAD-M
s17_9,22.5,0.991771815,2bRAD-M
s9_14,22.5,0.996437992,2bRAD-M
s9_6,22.5,0.995701551,2bRAD-M
s9_9,22.5,0.993561149,2bRAD-M
s11_1,1,0.686143236,WMS
s11_11,1,0.277295586,WMS
s11_12,1,0.401459608,WMS
s11_14,1,0,WMS
s11_2,1,0,WMS
s11_6,1,0.57635592,WMS
s11_7,1,0.487533872,WMS
s11_9,1,0.73058105,WMS
s13_1,1,0.663916566,WMS
s13_11,1,0,WMS
s13_12,1,0.546403212,WMS
s13_14,1,0.071976114,WMS
s13_2,1,0,WMS
s13_6,1,0.516856954,WMS
s13_7,1,0.235575133,WMS
s13_9,1,0.516750433,WMS
s17_1,1,0.83839911,WMS
s17_11,1,0.172782169,WMS
s17_12,1,0.669632101,WMS
s17_14,1,0.188933743,WMS
s17_2,1,0,WMS
s17_6,1,0.543963899,WMS
s17_7,1,0.572515043,WMS
s17_9,1,0.772042599,WMS
s9_1,1,0.530637241,WMS
s9_11,1,0,WMS
s9_12,1,0.034395893,WMS
s9_14,1,0.115100628,WMS
s9_2,1,0.070594014,WMS
s9_6,1,0.865199211,WMS
s9_7,1,0.280411595,WMS
s9_9,1,0.733950092,WMS
s11_1,10,0.909714743,WMS
s11_11,10,0.773901561,WMS
s11_12,10,0.745544243,WMS
s11_14,10,0.633120857,WMS
s11_2,10,0.610616382,WMS
s11_6,10,0.888911537,WMS
s11_7,10,0.856732038,WMS
s11_9,10,0.937695475,WMS
s13_1,10,0.893136842,WMS
s13_11,10,0.6656253,WMS
s13_12,10,0.813519597,WMS
s13_14,10,0.702468776,WMS
s13_2,10,0.540541291,WMS
s13_6,10,0.847232782,WMS
s13_7,10,0.700443768,WMS
s13_9,10,0.859477709,WMS
s17_1,10,0.936446103,WMS
s17_11,10,0.677331937,WMS
s17_12,10,0.869334895,WMS
s17_14,10,0.758664975,WMS
s17_2,10,0.658512444,WMS
s17_6,10,0.883346415,WMS
s17_7,10,0.86839857,WMS
s17_9,10,0.945081295,WMS
s9_1,10,0.85136495,WMS
s9_11,10,0.685713924,WMS
s9_12,10,0.662258656,WMS
s9_14,10,0.738538759,WMS
s9_2,10,0.728974568,WMS
s9_6,10,0.973843526,WMS
s9_7,10,0.733484348,WMS
s9_9,10,0.939734867,WMS
s11_1,20,0.934271162,WMS
s11_11,20,0.847308224,WMS
s11_12,20,0.838521629,WMS
s11_14,20,0.74078815,WMS
s11_2,20,0.774442107,WMS
s11_6,20,0.926053269,WMS
s11_7,20,0.917356181,WMS
s11_9,20,0.962806402,WMS
s13_1,20,0.929214437,WMS
s13_11,20,0.76480409,WMS
s13_12,20,0.867023273,WMS
s13_14,20,0.817638123,WMS
s13_2,20,0.708884756,WMS
s13_6,20,0.90378973,WMS
s13_7,20,0.813818028,WMS
s13_9,20,0.917613744,WMS
s17_1,20,0.944245811,WMS
s17_11,20,0.780422986,WMS
s17_12,20,0.913829886,WMS
s17_14,20,0.848058419,WMS
s17_2,20,0.795766233,WMS
s17_6,20,0.920103873,WMS
s17_7,20,0.918857866,WMS
s17_9,20,0.966904872,WMS
s9_1,20,0.888439404,WMS
s9_11,20,0.778594378,WMS
s9_12,20,0.761027577,WMS
s9_14,20,0.834824284,WMS
s9_2,20,0.828099524,WMS
s9_6,20,0.984327797,WMS
s9_7,20,0.84271929,WMS
s9_9,20,0.963653516,WMS
s11_1,50,0.95620343,WMS
s11_11,50,0.924533808,WMS
s11_12,50,0.922444567,WMS
s11_14,50,0.862157528,WMS
s11_2,50,0.889344107,WMS
s11_6,50,0.970858381,WMS
s11_7,50,0.96858371,WMS
s11_9,50,0.981415059,WMS
s13_1,50,0.963091262,WMS
s13_11,50,0.892377341,WMS
s13_12,50,0.929326526,WMS
s13_14,50,0.91588312,WMS
s13_2,50,0.860727448,WMS
s13_6,50,0.949431788,WMS
s13_7,50,0.909885946,WMS
s13_9,50,0.962715349,WMS
s17_1,50,0.969741074,WMS
s17_11,50,0.889317448,WMS
s17_12,50,0.955474617,WMS
s17_14,50,0.929869306,WMS
s17_2,50,0.896562263,WMS
s17_6,50,0.951166032,WMS
s17_7,50,0.960620671,WMS
s17_9,50,0.984347905,WMS
s9_1,50,0.929057903,WMS
s9_11,50,0.87961484,WMS
s9_12,50,0.879501421,WMS
s9_14,50,0.92458501,WMS
s9_2,50,0.908782376,WMS
s9_6,50,0.991582967,WMS
s9_7,50,0.944654417,WMS
s9_9,50,0.982185975,WMS
s11_1,75,0.967054844,WMS
s11_11,75,0.947409435,WMS
s11_12,75,0.951110392,WMS
s11_14,75,0.910597366,WMS
s11_2,75,0.926737493,WMS
s11_6,75,0.981436527,WMS
s11_7,75,0.982865845,WMS
s11_9,75,0.986965998,WMS
s13_1,75,0.97511094,WMS
s13_11,75,0.939487026,WMS
s13_12,75,0.950129487,WMS
s13_14,75,0.949866146,WMS
s13_2,75,0.903607,WMS
s13_6,75,0.960420591,WMS
s13_7,75,0.938115646,WMS
s13_9,75,0.975215738,WMS
s17_1,75,0.988699371,WMS
s17_11,75,0.922586969,WMS
s17_12,75,0.968860772,WMS
s17_14,75,0.960324315,WMS
s17_2,75,0.934258071,WMS
s17_6,75,0.959953508,WMS
s17_7,75,0.979508111,WMS
s17_9,75,0.988335104,WMS
s9_1,75,0.953463644,WMS
s9_11,75,0.916122445,WMS
s9_12,75,0.922789336,WMS
s9_14,75,0.958412989,WMS
s9_2,75,0.932748663,WMS
s9_6,75,0.994044632,WMS
s9_7,75,0.974166954,WMS
s9_9,75,0.989771587,WMS
s11_1,100,0.971481927,WMS
s11_11,100,0.963334766,WMS
s11_12,100,0.966784038,WMS
s11_14,100,0.937515302,WMS
s11_2,100,0.95090213,WMS
s11_6,100,0.987633747,WMS
s11_7,100,0.991729198,WMS
s11_9,100,0.989682211,WMS
s13_1,100,0.982549829,WMS
s13_11,100,0.962787061,WMS
s13_12,100,0.963202478,WMS
s13_14,100,0.966487506,WMS
s13_2,100,0.93168324,WMS
s13_6,100,0.972762671,WMS
s13_7,100,0.956263249,WMS
s13_9,100,0.982674305,WMS
s17_1,100,0.992149903,WMS
s17_11,100,0.951058379,WMS
s17_12,100,0.978332163,WMS
s17_14,100,0.971886451,WMS
s17_2,100,0.953603563,WMS
s17_6,100,0.962483894,WMS
s17_7,100,0.985284993,WMS
s17_9,100,0.989448172,WMS
s9_1,100,0.965297493,WMS
s9_11,100,0.940516749,WMS
s9_12,100,0.945167472,WMS
s9_14,100,0.972124356,WMS
s9_2,100,0.95334727,WMS
s9_6,100,0.995537532,WMS
s9_7,100,0.992330867,WMS
s9_9,100,0.992257986,WMS
s11_1,125,0.981509995,WMS
s11_11,125,0.973160537,WMS
s11_12,125,0.975490055,WMS
s11_14,125,0.953021835,WMS
s11_2,125,0.970416811,WMS
s11_6,125,0.991668846,WMS
s11_9,125,0.991680947,WMS
s13_1,125,0.988559746,WMS
s13_11,125,0.980952602,WMS
s13_12,125,0.972652494,WMS
s13_14,125,0.981201682,WMS
s13_2,125,0.950268492,WMS
s13_6,125,0.980347339,WMS
s13_7,125,0.969701997,WMS
s13_9,125,0.987591383,WMS
s17_1,125,0.995025952,WMS
s17_11,125,0.969958042,WMS
s17_12,125,0.986841459,WMS
s17_14,125,0.993933149,WMS
s17_2,125,0.96787442,WMS
s17_6,125,0.971433291,WMS
s17_7,125,0.989923829,WMS
s17_9,125,0.991825203,WMS
s9_1,125,0.974626307,WMS
s9_11,125,0.958234148,WMS
s9_12,125,0.960768892,WMS
s9_14,125,0.983951766,WMS
s9_2,125,0.965935993,WMS
s9_6,125,0.996426532,WMS
s9_9,125,0.993890103,WMS
s11_1,150,0.987031761,WMS
s11_11,150,0.981057567,WMS
s11_12,150,0.980817635,WMS
s11_14,150,0.963134939,WMS
s11_2,150,0.983347265,WMS
s11_6,150,0.994753231,WMS
s11_9,150,0.993177265,WMS
s13_1,150,0.991906416,WMS
s13_11,150,0.997361833,WMS
s13_12,150,0.982452688,WMS
s13_14,150,0.991378865,WMS
s13_2,150,0.965588005,WMS
s13_6,150,0.985047588,WMS
s13_7,150,0.979618332,WMS
s13_9,150,0.991483167,WMS
s17_1,150,0.995882568,WMS
s17_11,150,0.983370109,WMS
s17_12,150,0.988982314,WMS
s17_2,150,0.979387499,WMS
s17_6,150,0.971550909,WMS
s17_7,150,0.993224597,WMS
s17_9,150,0.992257051,WMS
s9_1,150,0.980262606,WMS
s9_11,150,0.96855683,WMS
s9_12,150,0.974496404,WMS
s9_14,150,0.992248401,WMS
s9_2,150,0.975578091,WMS
s9_6,150,0.997040633,WMS
s9_9,150,0.995097302,WMS
s11_1,175,0.98961848,WMS
s11_11,175,0.987548351,WMS
s11_12,175,0.987605019,WMS
s11_14,175,0.970397,WMS
s11_2,175,0.996584333,WMS
s11_6,175,1,WMS
s11_9,175,0.994455064,WMS
s13_1,175,0.995945199,WMS
s13_12,175,0.987958886,WMS
s13_2,175,0.976933435,WMS
s13_6,175,0.988017903,WMS
s13_7,175,0.985548515,WMS
s13_9,175,0.994743068,WMS
s17_1,175,0.997663001,WMS
s17_11,175,0.994696881,WMS
s17_12,175,0.992039897,WMS
s17_2,175,0.989220768,WMS
s17_6,175,0.972688672,WMS
s17_7,175,0.996553733,WMS
s17_9,175,0.997010984,WMS
s9_1,175,0.985419753,WMS
s9_11,175,0.978547779,WMS
s9_12,175,0.985245117,WMS
s9_2,175,0.984306979,WMS
s9_6,175,0.9973757,WMS
s9_9,175,0.996324734,WMS
s11_1,200,0.993094165,WMS
s11_11,200,0.992339068,WMS
s11_12,200,0.997291883,WMS
s11_14,200,0.977151532,WMS
s11_9,200,0.998240717,WMS
s13_1,200,0.998622633,WMS
s13_12,200,0.993025269,WMS
s13_2,200,0.983909536,WMS
s13_6,200,0.991817719,WMS
s13_7,200,0.989820169,WMS
s17_12,200,0.996329749,WMS
s17_6,200,0.992246817,WMS
s17_9,200,0.997803017,WMS
s9_1,200,0.989122104,WMS
s9_11,200,0.988964231,WMS
s9_12,200,0.992917201,WMS
s9_2,200,0.992327315,WMS
s9_6,200,0.998248633,WMS
s9_9,200,0.997234968,WMS
s11_1,225,0.994124366,WMS
s11_11,225,1,WMS
s11_14,225,0.984697165,WMS
s13_12,225,0.996550618,WMS
s13_2,225,0.995538734,WMS
s13_6,225,0.994261717,WMS
s13_7,225,0.994814933,WMS
s17_6,225,0.994869151,WMS
s9_1,225,0.992623735,WMS
s9_11,225,0.997263983,WMS
s9_6,225,0.998792333,WMS
s9_9,225,0.997959934,WMS
