sample_id,shannon_entropy,depth,way
s11_1,5.049010391,0.1,2bRAD-M
s11_11,5.094981613,0.1,2bRAD-M
s11_12,5.670925663,0.1,2bRAD-M
s11_14,5.144793281,0.1,2bRAD-M
s11_2,4.813040368,0.1,2bRAD-M
s11_6,5.667960777,0.1,2bRAD-M
s11_7,6.161321939,0.1,2bRAD-M
s11_9,5.674179568,0.1,2bRAD-M
s13_1,4.132244908,0.1,2bRAD-M
s13_11,4.566803234,0.1,2bRAD-M
s13_12,4.906822086,0.1,2bRAD-M
s13_14,5.219360305,0.1,2bRAD-M
s13_2,4.273410227,0.1,2bRAD-M
s13_6,5.336347231,0.1,2bRAD-M
s13_7,5.715394213,0.1,2bRAD-M
s13_9,5.812894223,0.1,2bRAD-M
s17_1,5.269532838,0.1,2bRAD-M
s17_11,4.719185235,0.1,2bRAD-M
s17_12,5.327580636,0.1,2bRAD-M
s17_14,5.394221276,0.1,2bRAD-M
s17_2,4.841961757,0.1,2bRAD-M
s17_6,5.516424759,0.1,2bRAD-M
s17_7,5.841206532,0.1,2bRAD-M
s17_9,5.640451266,0.1,2bRAD-M
s9_1,4.482239968,0.1,2bRAD-M
s9_11,4.428438302,0.1,2bRAD-M
s9_12,5.058475255,0.1,2bRAD-M
s9_14,5.725999593,0.1,2bRAD-M
s9_2,4.601505862,0.1,2bRAD-M
s9_6,5.417797573,0.1,2bRAD-M
s9_7,6.040472856,0.1,2bRAD-M
s9_9,5.582073237,0.1,2bRAD-M
s11_1,5.940629162,1,2bRAD-M
s11_11,6.28525445,1,2bRAD-M
s11_12,6.440453795,1,2bRAD-M
s11_14,6.516967484,1,2bRAD-M
s11_2,6.077807166,1,2bRAD-M
s11_6,6.650340941,1,2bRAD-M
s11_7,7.056076618,1,2bRAD-M
s11_9,6.425082598,1,2bRAD-M
s13_1,5.056120787,1,2bRAD-M
s13_11,6.137930585,1,2bRAD-M
s13_12,5.879186594,1,2bRAD-M
s13_14,6.510981116,1,2bRAD-M
s13_2,5.785478461,1,2bRAD-M
s13_6,6.418304026,1,2bRAD-M
s13_7,6.819839378,1,2bRAD-M
s13_9,6.704759068,1,2bRAD-M
s17_1,6.057582589,1,2bRAD-M
s17_11,6.251732323,1,2bRAD-M
s17_12,6.041633007,1,2bRAD-M
s17_14,6.74308663,1,2bRAD-M
s17_2,6.143513293,1,2bRAD-M
s17_6,6.697822493,1,2bRAD-M
s17_7,6.714113571,1,2bRAD-M
s17_9,6.466836668,1,2bRAD-M
s9_1,5.572233286,1,2bRAD-M
s9_11,5.825290838,1,2bRAD-M
s9_12,6.314111732,1,2bRAD-M
s9_14,6.574725352,1,2bRAD-M
s9_2,5.990646199,1,2bRAD-M
s9_6,6.204581045,1,2bRAD-M
s9_7,6.924787798,1,2bRAD-M
s9_9,6.2840272,1,2bRAD-M
s11_1,6.281834337,10,2bRAD-M
s11_14,7.163689844,10,2bRAD-M
s11_6,6.999423108,10,2bRAD-M
s11_9,6.703867737,10,2bRAD-M
s13_1,5.487971685,10,2bRAD-M
s13_11,6.77982664,10,2bRAD-M
s13_12,6.304082394,10,2bRAD-M
s13_14,7.094143554,10,2bRAD-M
s13_6,6.823371227,10,2bRAD-M
s13_9,7.021330141,10,2bRAD-M
s17_1,6.343824283,10,2bRAD-M
s17_11,6.821930175,10,2bRAD-M
s17_12,6.338825352,10,2bRAD-M
s17_14,7.254026797,10,2bRAD-M
s17_6,7.11625588,10,2bRAD-M
s17_9,6.746238603,10,2bRAD-M
s9_1,6.036022388,10,2bRAD-M
s9_14,6.932657319,10,2bRAD-M
s9_6,6.398955498,10,2bRAD-M
s9_9,6.526451771,10,2bRAD-M
s11_1,6.291309014,12.5,2bRAD-M
s11_14,7.197938049,12.5,2bRAD-M
s11_6,7.004125917,12.5,2bRAD-M
s11_9,6.709665087,12.5,2bRAD-M
s13_1,5.509164949,12.5,2bRAD-M
s13_11,6.846305592,12.5,2bRAD-M
s13_14,7.107603633,12.5,2bRAD-M
s13_6,6.840236288,12.5,2bRAD-M
s13_9,7.036529659,12.5,2bRAD-M
s17_1,6.354019066,12.5,2bRAD-M
s17_14,7.276573505,12.5,2bRAD-M
s17_6,7.125300629,12.5,2bRAD-M
s17_9,6.751059879,12.5,2bRAD-M
s9_1,6.052216973,12.5,2bRAD-M
s9_14,6.948367652,12.5,2bRAD-M
s9_6,6.405873256,12.5,2bRAD-M
s9_9,6.536167018,12.5,2bRAD-M
s11_1,6.303732457,15,2bRAD-M
s11_14,7.223998053,15,2bRAD-M
s11_6,7.006690116,15,2bRAD-M
s11_9,6.717030689,15,2bRAD-M
s13_1,5.518401433,15,2bRAD-M
s13_14,7.126044626,15,2bRAD-M
s13_6,6.848669072,15,2bRAD-M
s13_9,7.04260131,15,2bRAD-M
s17_1,6.361297305,15,2bRAD-M
s17_14,7.286254897,15,2bRAD-M
s17_6,7.135784447,15,2bRAD-M
s17_9,6.754635171,15,2bRAD-M
s9_1,6.073808787,15,2bRAD-M
s9_14,6.957704302,15,2bRAD-M
s9_6,6.410776526,15,2bRAD-M
s9_9,6.543357082,15,2bRAD-M
s11_1,6.305996221,17.5,2bRAD-M
s11_14,7.24648931,17.5,2bRAD-M
s11_6,7.008161015,17.5,2bRAD-M
s11_9,6.719079177,17.5,2bRAD-M
s13_1,5.53085721,17.5,2bRAD-M
s13_14,7.137469278,17.5,2bRAD-M
s13_6,6.856486939,17.5,2bRAD-M
s13_9,7.049019515,17.5,2bRAD-M
s17_1,6.365426086,17.5,2bRAD-M
s17_14,7.299578724,17.5,2bRAD-M
s17_6,7.141879945,17.5,2bRAD-M
s17_9,6.760126913,17.5,2bRAD-M
s9_1,6.087519917,17.5,2bRAD-M
s9_14,6.967873139,17.5,2bRAD-M
s9_6,6.41532207,17.5,2bRAD-M
s9_9,6.548164965,17.5,2bRAD-M
s11_1,6.095284365,2,2bRAD-M
s11_11,6.507497344,2,2bRAD-M
s11_12,6.538849933,2,2bRAD-M
s11_14,6.801379474,2,2bRAD-M
s11_2,6.360330738,2,2bRAD-M
s11_6,6.78425999,2,2bRAD-M
s11_7,7.176009029,2,2bRAD-M
s11_9,6.566951446,2,2bRAD-M
s13_1,5.216183222,2,2bRAD-M
s13_11,6.35453605,2,2bRAD-M
s13_12,6.05096471,2,2bRAD-M
s13_14,6.741972411,2,2bRAD-M
s13_2,6.058468487,2,2bRAD-M
s13_6,6.562807838,2,2bRAD-M
s13_7,6.992338291,2,2bRAD-M
s13_9,6.829550754,2,2bRAD-M
s17_1,6.220005777,2,2bRAD-M
s17_11,6.475643998,2,2bRAD-M
s17_12,6.150327368,2,2bRAD-M
s17_14,6.940038439,2,2bRAD-M
s17_2,6.446854552,2,2bRAD-M
s17_6,6.879346599,2,2bRAD-M
s17_7,6.87835755,2,2bRAD-M
s17_9,6.608280788,2,2bRAD-M
s9_1,5.759701755,2,2bRAD-M
s9_11,6.02806781,2,2bRAD-M
s9_12,6.510695684,2,2bRAD-M
s9_14,6.727830865,2,2bRAD-M
s9_2,6.181139038,2,2bRAD-M
s9_6,6.29015551,2,2bRAD-M
s9_7,7.080153901,2,2bRAD-M
s9_9,6.395408636,2,2bRAD-M
s11_1,6.305723177,20,2bRAD-M
s11_14,7.257625313,20,2bRAD-M
s11_6,7.009784599,20,2bRAD-M
s11_9,6.721113472,20,2bRAD-M
s13_1,5.537122968,20,2bRAD-M
s13_14,7.147213545,20,2bRAD-M
s13_6,6.869799878,20,2bRAD-M
s13_9,7.051929536,20,2bRAD-M
s17_1,6.364846805,20,2bRAD-M
s17_14,7.310597771,20,2bRAD-M
s17_6,7.142915055,20,2bRAD-M
s17_9,6.757171103,20,2bRAD-M
s9_14,6.974407963,20,2bRAD-M
s9_6,6.416173716,20,2bRAD-M
s9_9,6.54990008,20,2bRAD-M
s11_1,6.309122645,22.5,2bRAD-M
s11_14,7.265264745,22.5,2bRAD-M
s11_9,6.72344198,22.5,2bRAD-M
s13_1,5.541882875,22.5,2bRAD-M
s13_14,7.150430722,22.5,2bRAD-M
s13_9,7.051779845,22.5,2bRAD-M
s17_1,6.36855833,22.5,2bRAD-M
s17_14,7.321666764,22.5,2bRAD-M
s17_6,7.141998816,22.5,2bRAD-M
s17_9,6.754207964,22.5,2bRAD-M
s9_14,6.980787539,22.5,2bRAD-M
s9_6,6.416929288,22.5,2bRAD-M
s9_9,6.55162239,22.5,2bRAD-M
s11_1,6.237480119,5,2bRAD-M
s11_11,6.730169842,5,2bRAD-M
s11_12,6.638480217,5,2bRAD-M
s11_14,7.044914769,5,2bRAD-M
s11_2,6.547039073,5,2bRAD-M
s11_6,6.941325298,5,2bRAD-M
s11_7,7.305851045,5,2bRAD-M
s11_9,6.663981654,5,2bRAD-M
s13_1,5.407968285,5,2bRAD-M
s13_11,6.6199561,5,2bRAD-M
s13_12,6.219427969,5,2bRAD-M
s13_14,6.982784984,5,2bRAD-M
s13_2,6.440822341,5,2bRAD-M
s13_6,6.752224625,5,2bRAD-M
s13_7,7.19675353,5,2bRAD-M
s13_9,6.96081001,5,2bRAD-M
s17_1,6.312669159,5,2bRAD-M
s17_11,6.682330046,5,2bRAD-M
s17_12,6.266956452,5,2bRAD-M
s17_14,7.174349067,5,2bRAD-M
s17_2,6.663235938,5,2bRAD-M
s17_6,7.055946432,5,2bRAD-M
s17_7,6.977159568,5,2bRAD-M
s17_9,6.694787269,5,2bRAD-M
s9_1,5.966118616,5,2bRAD-M
s9_11,6.246445095,5,2bRAD-M
s9_12,6.689019463,5,2bRAD-M
s9_14,6.869648655,5,2bRAD-M
s9_2,6.371669875,5,2bRAD-M
s9_6,6.37427406,5,2bRAD-M
s9_7,7.225085169,5,2bRAD-M
s9_9,6.480703944,5,2bRAD-M
s11_1,6.272997162,7.5,2bRAD-M
s11_11,6.769956256,7.5,2bRAD-M
s11_12,6.681617381,7.5,2bRAD-M
s11_14,7.129009977,7.5,2bRAD-M
s11_2,6.616609161,7.5,2bRAD-M
s11_6,6.982036941,7.5,2bRAD-M
s11_7,7.334923226,7.5,2bRAD-M
s11_9,6.690263224,7.5,2bRAD-M
s13_1,5.460790981,7.5,2bRAD-M
s13_11,6.724695697,7.5,2bRAD-M
s13_12,6.272348366,7.5,2bRAD-M
s13_14,7.054198374,7.5,2bRAD-M
s13_6,6.809516365,7.5,2bRAD-M
s13_9,7.003861941,7.5,2bRAD-M
s17_1,6.334074321,7.5,2bRAD-M
s17_11,6.769628414,7.5,2bRAD-M
s17_12,6.310481864,7.5,2bRAD-M
s17_14,7.221315826,7.5,2bRAD-M
s17_2,6.741015039,7.5,2bRAD-M
s17_6,7.098955827,7.5,2bRAD-M
s17_7,7.001785058,7.5,2bRAD-M
s17_9,6.726870118,7.5,2bRAD-M
s9_1,6.00448209,7.5,2bRAD-M
s9_11,6.325115309,7.5,2bRAD-M
s9_12,6.752066548,7.5,2bRAD-M
s9_14,6.910720853,7.5,2bRAD-M
s9_2,6.428403877,7.5,2bRAD-M
s9_6,6.389406899,7.5,2bRAD-M
s9_7,7.265344861,7.5,2bRAD-M
s9_9,6.506153502,7.5,2bRAD-M
s11_1,4.056820613,100,WMS
s11_11,4.59724628,100,WMS
s11_12,5.167041292,100,WMS
s11_14,5.763752716,100,WMS
s11_2,5.014132007,100,WMS
s11_6,5.388347041,100,WMS
s11_7,5.519285917,100,WMS
s11_9,5.716472339,100,WMS
s13_1,3.590028748,100,WMS
s13_11,5.129171463,100,WMS
s13_12,4.317628385,100,WMS
s13_14,5.783291331,100,WMS
s13_2,4.815196241,100,WMS
s13_6,5.25932307,100,WMS
s13_7,5.660590711,100,WMS
s13_9,5.932967092,100,WMS
s17_1,4.250721568,100,WMS
s17_11,4.618120052,100,WMS
s17_12,4.391808362,100,WMS
s17_14,5.662542575,100,WMS
s17_2,5.0793237,100,WMS
s17_6,5.028470909,100,WMS
s17_7,4.915627009,100,WMS
s17_9,5.556449386,100,WMS
s9_1,4.213899595,100,WMS
s9_11,4.589121346,100,WMS
s9_12,5.406438562,100,WMS
s9_14,6.125111621,100,WMS
s9_2,5.046477585,100,WMS
s9_6,5.450251497,100,WMS
s9_7,5.892779902,100,WMS
s9_9,5.468184814,100,WMS
s11_1,3.504256271,10,WMS
s11_11,3.497538809,10,WMS
s11_12,3.72944908,10,WMS
s11_14,4.278200597,10,WMS
s11_2,3.193113444,10,WMS
s11_6,4.75935659,10,WMS
s11_7,4.585657544,10,WMS
s11_9,5.348538315,10,WMS
s13_1,2.90933472,10,WMS
s13_11,3.5305961,10,WMS
s13_12,3.348994973,10,WMS
s13_14,4.421689354,10,WMS
s13_2,2.927108715,10,WMS
s13_6,4.420442055,10,WMS
s13_7,4.123190617,10,WMS
s13_9,5.13401222,10,WMS
s17_1,3.936921124,10,WMS
s17_11,3.019462415,10,WMS
s17_12,3.629602634,10,WMS
s17_14,4.434173171,10,WMS
s17_2,3.597104651,10,WMS
s17_6,4.337613636,10,WMS
s17_7,4.099249461,10,WMS
s17_9,5.213606033,10,WMS
s9_1,3.445282391,10,WMS
s9_11,3.329332031,10,WMS
s9_12,3.792220224,10,WMS
s9_14,4.88442759,10,WMS
s9_2,3.80523936,10,WMS
s9_6,5.304474763,10,WMS
s9_7,4.291146903,10,WMS
s9_9,5.081084743,10,WMS
s11_1,4.083053146,125,WMS
s11_11,4.661815518,125,WMS
s11_12,5.24420718,125,WMS
s11_14,5.843610857,125,WMS
s11_2,5.1258414,125,WMS
s11_6,5.410908536,125,WMS
s11_9,5.729003731,125,WMS
s13_1,3.640556914,125,WMS
s13_11,5.231902793,125,WMS
s13_12,4.388637417,125,WMS
s13_14,5.852147203,125,WMS
s13_2,4.914168803,125,WMS
s13_6,5.283035834,125,WMS
s13_7,5.722828199,125,WMS
s13_9,5.964558991,125,WMS
s17_1,4.259898696,125,WMS
s17_11,4.738063185,125,WMS
s17_12,4.420330993,125,WMS
s17_14,5.707536554,125,WMS
s17_2,5.157540941,125,WMS
s17_6,5.047318467,125,WMS
s17_7,4.951737417,125,WMS
s17_9,5.568653968,125,WMS
s9_1,4.262329291,125,WMS
s9_11,4.712975442,125,WMS
s9_12,5.499427389,125,WMS
s9_14,6.185375508,125,WMS
s9_2,5.132743089,125,WMS
s9_6,5.455788234,125,WMS
s9_9,5.480759824,125,WMS
s11_1,4.090588015,150,WMS
s11_11,4.708598374,150,WMS
s11_12,5.299980654,150,WMS
s11_14,5.924022568,150,WMS
s11_2,5.197073343,150,WMS
s11_6,5.430584368,150,WMS
s11_9,5.738455411,150,WMS
s13_1,3.657746499,150,WMS
s13_11,5.305237119,150,WMS
s13_12,4.455215797,150,WMS
s13_14,5.896062895,150,WMS
s13_2,4.997706249,150,WMS
s13_6,5.320013787,150,WMS
s13_7,5.782822452,150,WMS
s13_9,5.986649967,150,WMS
s17_1,4.275697418,150,WMS
s17_11,4.825775272,150,WMS
s17_12,4.451252007,150,WMS
s17_2,5.228557556,150,WMS
s17_6,5.077240257,150,WMS
s17_7,4.976270291,150,WMS
s17_9,5.576485468,150,WMS
s9_1,4.308823697,150,WMS
s9_11,4.789874694,150,WMS
s9_12,5.579218853,150,WMS
s9_14,6.227027868,150,WMS
s9_2,5.204713182,150,WMS
s9_6,5.459426699,150,WMS
s9_9,5.489757069,150,WMS
s11_1,4.104760059,175,WMS
s11_11,4.74990032,175,WMS
s11_12,5.339147843,175,WMS
s11_14,5.980216093,175,WMS
s11_2,5.253515165,175,WMS
s11_6,5.446706149,175,WMS
s11_9,5.740935047,175,WMS
s13_1,3.67889067,175,WMS
s13_12,4.498238217,175,WMS
s13_2,5.059746226,175,WMS
s13_6,5.351058091,175,WMS
s13_7,5.823188252,175,WMS
s13_9,6.005330787,175,WMS
s17_1,4.285605514,175,WMS
s17_11,4.883845027,175,WMS
s17_12,4.47014277,175,WMS
s17_2,5.283593887,175,WMS
s17_6,5.099909949,175,WMS
s17_7,4.994694973,175,WMS
s17_9,5.578096625,175,WMS
s9_1,4.346854961,175,WMS
s9_11,4.84908644,175,WMS
s9_12,5.631964261,175,WMS
s9_2,5.257925944,175,WMS
s9_6,5.463248835,175,WMS
s9_9,5.495387302,175,WMS
s11_1,1.962219578,1,WMS
s11_11,0.817605818,1,WMS
s11_12,1.736365967,1,WMS
s11_14,0,1,WMS
s11_2,0,1,WMS
s11_6,2.749793594,1,WMS
s11_7,1.803588234,1,WMS
s11_9,4.001441324,1,WMS
s13_1,1.285809381,1,WMS
s13_11,0,1,WMS
s13_12,2.168030019,1,WMS
s13_14,0,1,WMS
s13_2,0,1,WMS
s13_6,2.275883537,1,WMS
s13_7,0.835216254,1,WMS
s13_9,3.028030214,1,WMS
s17_1,3.166811934,1,WMS
s17_11,0,1,WMS
s17_12,2.466342361,1,WMS
s17_14,0.869412118,1,WMS
s17_2,0,1,WMS
s17_6,2.246840806,1,WMS
s17_7,1.856175591,1,WMS
s17_9,4.109449703,1,WMS
s9_1,1.741859093,1,WMS
s9_11,0,1,WMS
s9_12,0,1,WMS
s9_14,0.513298525,1,WMS
s9_2,0,1,WMS
s9_6,4.598387266,1,WMS
s9_7,1.311087793,1,WMS
s9_9,3.668482944,1,WMS
s11_1,4.116761223,200,WMS
s11_11,4.781174337,200,WMS
s11_12,5.356713164,200,WMS
s11_14,6.016075882,200,WMS
s11_9,5.748412467,200,WMS
s13_1,3.693992591,200,WMS
s13_12,4.532852202,200,WMS
s13_2,5.111677304,200,WMS
s13_6,5.363609215,200,WMS
s13_7,5.853102995,200,WMS
s17_12,4.483240159,200,WMS
s17_6,5.060361813,200,WMS
s17_9,5.582141369,200,WMS
s9_1,4.377821432,200,WMS
s9_11,4.901173602,200,WMS
s9_12,5.670035715,200,WMS
s9_2,5.30202106,200,WMS
s9_6,5.464591249,200,WMS
s9_9,5.498580031,200,WMS
s11_1,3.72777162,20,WMS
s11_11,3.90335721,20,WMS
s11_12,4.313388649,20,WMS
s11_14,4.775486742,20,WMS
s11_2,4.007617324,20,WMS
s11_6,5.047953187,20,WMS
s11_7,4.997279476,20,WMS
s11_9,5.518149416,20,WMS
s13_1,3.176328745,20,WMS
s13_11,4.03858894,20,WMS
s13_12,3.671450816,20,WMS
s13_14,4.96708912,20,WMS
s13_2,3.702479473,20,WMS
s13_6,4.784579545,20,WMS
s13_7,4.783385605,20,WMS
s13_9,5.511027609,20,WMS
s17_1,4.081478306,20,WMS
s17_11,3.646075337,20,WMS
s17_12,3.929114649,20,WMS
s17_14,4.893827013,20,WMS
s17_2,4.22174039,20,WMS
s17_6,4.629356708,20,WMS
s17_7,4.456571266,20,WMS
s17_9,5.367077418,20,WMS
s9_1,3.678224219,20,WMS
s9_11,3.714770327,20,WMS
s9_12,4.344365405,20,WMS
s9_14,5.379928535,20,WMS
s9_2,4.271393772,20,WMS
s9_6,5.370645956,20,WMS
s9_7,4.96760675,20,WMS
s9_9,5.263855991,20,WMS
s11_1,4.12768411,225,WMS
s11_11,4.813107661,225,WMS
s11_14,6.039937501,225,WMS
s13_12,4.559867543,225,WMS
s13_2,5.154438846,225,WMS
s13_6,5.380324285,225,WMS
s13_7,5.877386984,225,WMS
s17_6,5.066492877,225,WMS
s9_1,4.409046649,225,WMS
s9_11,4.94417151,225,WMS
s9_6,5.466473779,225,WMS
s9_9,5.502577583,225,WMS
s11_1,3.936620664,50,WMS
s11_11,4.344915799,50,WMS
s11_12,4.873292367,50,WMS
s11_14,5.354393659,50,WMS
s11_2,4.640448697,50,WMS
s11_6,5.29101365,50,WMS
s11_7,5.362856928,50,WMS
s11_9,5.652294994,50,WMS
s13_1,3.416775593,50,WMS
s13_11,4.720181362,50,WMS
s13_12,4.077406372,50,WMS
s13_14,5.506815515,50,WMS
s13_2,4.424552265,50,WMS
s13_6,5.0999002,50,WMS
s13_7,5.353773427,50,WMS
s13_9,5.796829836,50,WMS
s17_1,4.216611235,50,WMS
s17_11,4.244188914,50,WMS
s17_12,4.241740933,50,WMS
s17_14,5.351958706,50,WMS
s17_2,4.752220661,50,WMS
s17_6,4.892871876,50,WMS
s17_7,4.779984459,50,WMS
s17_9,5.498246922,50,WMS
s9_1,3.969628284,50,WMS
s9_11,4.211039005,50,WMS
s9_12,5.017321024,50,WMS
s9_14,5.877572578,50,WMS
s9_2,4.751113509,50,WMS
s9_6,5.426112249,50,WMS
s9_7,5.584526851,50,WMS
s9_9,5.408527419,50,WMS
s11_1,4.014526705,75,WMS
s11_11,4.496838475,75,WMS
s11_12,5.058394957,75,WMS
s11_14,5.609703204,75,WMS
s11_2,4.869583193,75,WMS
s11_6,5.346669992,75,WMS
s11_7,5.464132526,75,WMS
s11_9,5.690482695,75,WMS
s13_1,3.525817883,75,WMS
s13_11,4.996425002,75,WMS
s13_12,4.226618511,75,WMS
s13_14,5.679143293,75,WMS
s13_2,4.665047577,75,WMS
s13_6,5.207463993,75,WMS
s13_7,5.550368868,75,WMS
s13_9,5.879577774,75,WMS
s17_1,4.234472689,75,WMS
s17_11,4.447890832,75,WMS
s17_12,4.336511471,75,WMS
s17_14,5.53227057,75,WMS
s17_2,4.963119528,75,WMS
s17_6,4.978432454,75,WMS
s17_7,4.869138334,75,WMS
s17_9,5.533744316,75,WMS
s9_1,4.126292995,75,WMS
s9_11,4.433979742,75,WMS
s9_12,5.259369961,75,WMS
s9_14,6.050263807,75,WMS
s9_2,4.93884888,75,WMS
s9_6,5.44228257,75,WMS
s9_7,5.781895459,75,WMS
s9_9,5.446860345,75,WMS
